hero_health,enemy_health,hero_magic_stock,enemy_magic_stock,good_hit_cards,normal_hit_cards,low_hit_cards,do_nothing_cards,self_hurt_cards,both_hurt_cards,is_hero_magic,is_enemy_magic
100,100,2,2,5,5,5,1,1,1,0,0
85,100,2,2,5,5,4,1,0,1,1,0
77,90,1,2,5,4,3,1,0,1,1,1
67,74,0,1,5,3,2,1,0,1,0,0
62,59,0,1,4,3,2,1,0,0,0,1
42,51,0,0,3,2,2,1,0,0,0,0
34,41,0,0,2,1,2,1,0,0,0,0
29,36,0,0,2,1,0,1,0,0,0,0
19,26,0,0,0,1,0,1,0,0,0,0
11,26,0,0,5,5,5,1,1,1,0,0
3,16,0,0,4,4,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
80,100,2,2,4,5,5,1,0,1,0,0
72,92,2,2,4,3,5,1,0,1,0,0
72,87,2,2,4,3,4,0,0,1,0,0
62,82,2,2,3,3,3,0,0,1,0,0
57,77,2,2,3,3,1,0,0,1,0,1
32,72,2,1,2,3,1,0,0,0,0,0
27,62,2,1,1,3,0,0,0,0,0,1
11,52,2,0,0,2,0,0,0,0,0,0
3,44,2,0,5,5,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
92,92,2,2,5,3,5,1,1,1,1,0
64,92,1,2,5,2,5,1,0,1,1,0
59,67,0,2,4,2,5,1,0,0,0,0
54,59,0,2,4,1,4,1,0,0,0,1
44,49,0,1,3,1,3,1,0,0,0,1
34,39,0,0,2,1,2,1,0,0,0,0
29,29,0,0,1,1,1,1,0,0,0,0
29,19,0,0,0,1,1,0,0,0,0,0
24,11,0,0,5,5,5,1,1,1,0,0
19,1,0,0,4,5,4,1,1,1,0,0
9,1,0,0,3,5,4,0,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
87,95,2,2,5,4,5,1,1,0,0,1
71,85,2,1,4,3,5,1,1,0,0,0
63,77,2,1,4,1,5,1,1,0,0,1
53,77,2,0,4,1,4,0,1,0,0,0
45,67,2,0,3,0,4,0,1,0,0,0
30,67,2,0,3,0,3,0,0,0,0,0
20,62,2,0,2,0,2,0,0,0,0,0
10,52,2,0,0,0,2,0,0,0,0,0
5,47,2,0,5,5,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
92,90,2,2,4,4,5,1,1,1,0,0
77,85,2,2,3,4,5,1,1,0,0,0
69,80,2,2,3,3,4,1,1,0,0,1
53,75,2,1,3,2,3,1,1,0,0,0
43,70,2,1,2,2,2,1,1,0,1,0
33,50,1,1,0,2,2,1,1,0,0,0
25,50,1,1,0,1,2,0,1,0,0,0
7,50,1,1,0,0,2,0,0,0,0,0
2,45,1,1,5,5,5,1,1,1,0,0
100,100,2,2,5,5,5,1,1,1,0,0
100,85,2,2,5,5,4,1,0,1,0,0
85,80,2,2,4,5,4,1,0,0,0,0
75,72,2,2,3,4,4,1,0,0,0,0
67,62,2,2,2,3,4,1,0,0,1,0
59,42,1,2,1,2,4,1,0,0,0,0
54,42,1,2,1,2,3,0,0,0,0,0
49,37,1,2,1,2,1,0,0,0,0,0
39,29,1,2,0,1,1,0,0,0,0,0
31,24,1,2,5,5,5,1,1,1,0,0
23,14,1,2,4,4,5,1,1,1,0,0
15,9,1,2,4,3,4,1,1,1,0,0
10,1,1,2,4,2,3,1,1,1,1,1
100,100,2,2,5,5,5,1,1,1,0,0
